Episode #,Song Questions + Snack Time Game,Air Date,Month,Year
210,Stella Jang (feat. Olltii) - Cheerleader,"April 30, 2022",April,2022
211,Hyun Young - Draw Out,"May 7, 2022",May,2022
211,Yoon Jong-shin - The Lobster,"May 7, 2022",May,2022
212,Baby V.O.X - To Men,"May 14, 2022",May,2022
212,Day6 - Dance Dance,"May 14, 2022",May,2022
213,Taesaja - Crunch,"May 21, 2022",May,2022
213,Lovelyz - Memories,"May 21, 2022",May,2022
214,H.O.T. - Delight,"May 28, 2022",May,2022
214,Jaejoo Boys (feat. Hockee) - Secret Boy,"May 28, 2022",May,2022
215,Oh My Girl - Guerilla,"June 4, 2022",June,2022
215,Fin.K.L - Disregard,"June 4, 2022",June,2022
216,Jannabi - Surprise!,"June 11, 2022",June,2022
216,Shinhwa - Sharing Forever,"June 11, 2022",June,2022
217,"Gavengers - You Laugh, You're Lucky Yo!","June 18, 2022",June,2022
217,Kim Se-jeong - Do Dum Chit,"June 18, 2022",June,2022
218,Hyolyn - Bae,"June 25, 2022",June,2022
218,f(x) - Vacance,"June 25, 2022",June,2022
219,Hyuna - Babe,"July 2, 2022",July,2022
219,Park Hyo-shin (feat. As One) - Feel... Me.!,"July 2, 2022",July,2022
220,AKMU (with Beenzino) - Tictoc Tictoc Tictoc,"July 9, 2022",July,2022
220,Changmo - Wish,"July 9, 2022",July,2022
221,Wonder Girls (feat. San E) - Act Cool,"July 16, 2022",July,2022
221,Billlie - GingaMingaYo (the strange world),"July 16, 2022",July,2022
222,T.J - Hey Girl,"July 23, 2022",July,2022
222,sogumm - So Fast,"July 23, 2022",July,2022
223,(G)I-dle - Dumdi Dumdi,"July 30, 2022",July,2022
225,g.o.d - 21C Our Hope,"August 13, 2022",August,2022
225,Viviz - Bop Bop!,"August 13, 2022",August,2022
